"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"Age_Computation","Bayesian analysis for the OSL age estimation of one sample","This function computes the age (in ka) of a sample according to the model developed in Combes and Philippe (2017), based on an output of  Generate_DataFile  or  Generate_DataFile_MG .  A sample, for which data is available in several BIN files, can be analysed.",NA,NA,NA,"Claire Christophe, Sebastian Kreutzer, Anne Philippe, Guillaume Guérin<br />","Christophe, C., Kreutzer, S., Philippe, A., Guérin, G., 2024. Age_Computation(): Bayesian analysis for the OSL age estimation of one sample. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"Age_OSLC14","Bayesian analysis for age estimation of OSL measurements and C-14 ages of various samples","This function computes an age of OSL data consisting of at least two samples and calibrate C-14 ages of samples to get an age (in ka).  Ages of OSL data are computed according to the model given in Combes and Philippe (2017). Single-grain or Multi-grain OSL measurements can be analysed simultaneously (with output of  Generate_DataFile  or  Generate_DataFile_MG  or both of them using  combine_DataFiles ). Samples, for which data is available in several BIN files, can be analysed.  For C-14 data, the user can choose one of the following radiocarbon calibration curve: Northern or Southern Hemisphere or marine atmospheric.",NA,NA,NA,"Claire Christophe, Anne Philippe, Guillaume Guerin, Sebastian Kreutzer, Frederik Harly Baumgarten<br />","Christophe, C., Philippe, A., Kreutzer, S., Baumgarten, F.H., 2024. Age_OSLC14(): Bayesian analysis for age estimation of OSL measurements and C-14 ages of various samples. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"AgeC14_Computation","Bayesian analysis for C-14 age estimations of various samples","This function calibrates the C-14 age of samples to get an age (in ka). The user can choose one of the following radiocarbon calibration curve: Northern or Southern Hemisphere or marine atmospheric. It must be the same curve for all samples.",NA,NA,NA,"Claire Christophe, Anne Philippe, Guillaume Guérin, Sebastian Kreutzer<br />","Christophe, C., Philippe, A., Guérin, G., Kreutzer, S., 2024. AgeC14_Computation(): Bayesian analysis for C-14 age estimations of various samples. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"AgeS_Computation","Bayesian analysis for OSL age estimation of various samples","This function computes the age (in ka) of at least two samples according to the model developed in Combès and Philippe (2017), based on outputs of  Generate_DataFile  or  Generate_DataFile_MG  or both of them using  combine_DataFiles .  Samples, for which data is available in several BIN files, can be analysed.  Single-grain or Multi-grain OSL measurements can be analysed simultaneously.",NA,NA,NA,"Claire Christophe, Anne Philippe, Guillaume Guérin, Sebastian Kreutzer<br />","Christophe, C., Philippe, A., Guérin, G., Kreutzer, S., 2024. AgeS_Computation(): Bayesian analysis for OSL age estimation of various samples. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"AgeS","Output of  AgeS_Computation  function for the samples: \"GDB5\" and \"GDB3\"<br />","Output of  AgeS_Computation  function for the samples: \"GDB5\" and \"GDB3\", there is no stratigraphic relation neither systematic errors.",NA,NA,NA,NA,NA
"BayLum-deprecated","Deprecated functions in package  BayLum .","The functions listed below are deprecated and will be defunct in   the near future. When possible, alternative functions with similar   functionality are also mentioned. Help pages for deprecated functions are   available at  help(\"<function>-deprecated\") .",NA,NA,NA,NA,NA
"combine_DataFiles","Combine objects","Combine objects generated by  Generate_DataFile  and  Generate_DataFile_MG","0.1.1
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France), adapting<br /> the idea from the function 'Concat_DataFile()' by Claire Christophe.<br />","Kreutzer, S., Christophe, C., 2024. combine_DataFiles(): Combine objects. Function version 0.1.1. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"create_DataFile","Prepare input data for subsequent BayLum Analysis","The function pre-processes input data from BIN/BINX file, XSYG files or  RLum.Analysis  objects for  'BayLum' . The parameters for the modelling are controlled by a to be supplied YAML configuration file (please read package vignette).","0.1.0
",NA,NA,"Sebastian Kreutzer, Institute of Geography, Ruprecht-Karl University of Heidelberg (Germany), in parts based on code by Claire Christophe<br />","Kreutzer, S., Christophe, C., 2024. create_DataFile(): Prepare input data for subsequent BayLum Analysis. Function version 0.1.0. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"create_FolderTemplates","Create Folder Templates","Create file and folder structure templates on the user hard drive as expected by  Generate_DataFile  and  Generate_DataFile_MG . Files and data in the folders must then be overwritten manually with user data. The function intends to minimise the errors going along with the creation of these folder structures. The function uses the example data of  BayLum  to create the templates.","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University<br /> (United Kingdom)<br />","Kreutzer, S., 2024. create_FolderTemplates(): Create Folder Templates. Function version 0.1.0. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"create_ThetaMatrix","Create Theta Matrix","Create the  \Theta  matrix with the shared uncertainties that can used as input in, e.g.,  AgeS_Computation  and  Age_OSLC14  which is used for the covariance matrix  \Sigma  (Combès & Philippe, 2017)","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS-Université Bordeaux Montaigne (France), based<br /> on an 'MS Excel' sheet by Guillaume Guérin, IRAMAT-CRP2A, UMR 5060, CNRS-Université Bordeaux Montaigne (France)<br />","Kreutzer, S., Guérin, G., 2024. create_ThetaMatrix(): Create Theta Matrix. Function version 0.1.0. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"DATA_C14","C14 cal age estiamte and its error<br />","C14 cal age estiamtes and theirs error of samples S-EVA-26510, S-EVA-26506, S-EVA-26507, S-EVA-26508.",NA,NA,NA,NA,NA
"DATA1","DATA of sample named GDB3<br /> %%   ~~ data name/kind ... ~~ <br />","list of objects: LT, sLT, ITimes, dLab, ddot_env, regDose, J,K,Nb_measurement obtained using  Generate_DataFile  function with single-grain OSL measurementsl of the sample GDB3. %%  ~~ A concise (1-5 lines) description of the dataset. ~~",NA,NA,NA,NA,NA
"DATA2","DATA on sample named GDB5<br /> %%   ~~ data name/kind ... ~~ <br />","list of objects: LT, sLT, ITimes, dLab, ddot_env, regDose, J,K,Nb_measurement obtained using  Generate_DataFile  function  with single-grain OSL measurementsl of the sample GDB5. %%  ~~ A concise (1-5 lines) description of the dataset. ~~",NA,NA,NA,NA,NA
"DATA3","<br /> DATA of sample named FER1","list of objects: LT, sLT, ITimes, dLab, ddot_env, regDose, J,K,Nb_measurement obtained using  Generate_DataFile  function with multi-grain OSL measurementsl of the sample FER1. %%  ~~ A concise (1-5 lines) description of the dataset. ~~",NA,NA,NA,NA,NA
