position,grain
4,4
4,15
4,20
4,23
4,33
4,45
4,55
4,62
4,66
4,67
4,69
4,81
4,85
4,92
6,5
6,9
6,20
6,22
6,23
6,26
6,33
6,38
6,43
6,53
6,54
6,56
6,57
6,59
6,60
6,68
6,71
6,72
6,76
6,77
6,89
6,92
6,93
6,95
8,1
8,5
8,20
8,21
8,22
8,26
8,27
8,35
8,45
8,48
8,58
8,68
8,74
8,77
8,88
8,100
10,1
10,9
10,38
10,53
10,54
10,66
10,74
10,76
10,89
10,91
10,95
10,97
10,100
12,9
12,12
12,22
12,31
12,37
12,56
12,61
12,72
12,79
14,3
14,9
14,18
14,20
14,30
14,37
14,47
14,67
14,72
14,82
14,84
14,88
16,6
16,15
16,32
16,33
16,35
16,36
16,37
16,55
16,57
16,58
16,74
16,82
16,83
